Date,Price,Open,High,Low,Vol.,Change %
6/14/2017,108.88,108.58,109.36,108.52,844.78K,0.67%
6/15/2017,110,108.72,110.95,108.72,1.08M,1.03%
6/16/2017,110.04,110.1,110.12,109.21,901.96K,0.04%
6/19/2017,110.32,110,110.79,109.68,357.03K,0.25%
6/20/2017,109.87,110.27,110.69,108.62,618.88K,-0.41%
6/21/2017,110.19,109.86,110.23,109.2,584.08K,0.29%
6/22/2017,109.3,110.1,110.1,108.97,586.05K,-0.81%
6/23/2017,109.18,109.3,110.39,108.93,1.31M,-0.11%
6/26/2017,108.6,109.22,109.84,108.46,561.58K,-0.53%
6/27/2017,106.72,108.38,108.64,106.64,1.06M,-1.73%
6/28/2017,106.25,106.83,107.13,106.07,662.60K,-0.44%
6/29/2017,105.6,105.36,106.21,105.03,446.45K,-0.61%
6/30/2017,105.38,105.44,106.09,104.72,683.29K,-0.21%
7/3/2017,105.9,105.88,106.13,105.23,348.37K,0.49%
7/5/2017,105.32,105.91,106.22,104.59,753.04K,-0.55%
7/6/2017,101.55,104.2,104.98,101.54,938.29K,-3.58%
7/7/2017,102.37,101.66,102.83,101.29,682.08K,0.81%
7/10/2017,100.63,102.37,102.37,100.54,682.93K,-1.70%
7/11/2017,99.59,100.73,100.74,99.28,858.15K,-1.03%
7/12/2017,99.83,99.64,100.27,99.3,935.74K,0.24%
7/13/2017,99.74,99.96,100.06,99.16,570.77K,-0.09%
7/14/2017,100.41,100.06,100.83,99.94,571.41K,0.67%
7/17/2017,101.24,100.46,101.57,100.16,666.21K,0.83%
7/18/2017,100.92,101.24,101.56,100.56,869.02K,-0.32%
7/19/2017,101.3,101,101.56,100.87,783.35K,0.38%
7/20/2017,101.01,101.61,102.13,100.94,693.64K,-0.29%
7/21/2017,101.19,100.97,101.41,100.54,901.69K,0.18%
7/24/2017,102.11,101.49,102.35,101.02,804.96K,0.91%
7/25/2017,101.41,102.27,102.27,100.59,588.34K,-0.69%
7/26/2017,102.24,101.4,102.38,101.13,416.08K,0.82%
7/27/2017,102.9,101.23,103.47,99.06,968.71K,0.65%
7/28/2017,103.71,103,104.64,102.91,699.63K,0.79%
7/31/2017,103.53,103.75,103.89,103.08,838.57K,-0.17%
8/1/2017,103.88,103.8,104.36,103.36,460.13K,0.34%
8/2/2017,103.85,103.61,104.01,103.19,469.15K,-0.03%
8/3/2017,103.94,103.86,104.56,102.91,409.66K,0.09%
8/4/2017,103.76,103.94,104.64,103.62,398.98K,-0.17%
8/7/2017,104.02,103.83,104.22,103.23,374.17K,0.25%
8/8/2017,104.36,103.92,104.4,103.66,486.11K,0.33%
8/9/2017,105.09,104.36,105.27,104.15,546.18K,0.70%
8/10/2017,104.48,104.89,105.28,104.44,396.03K,-0.58%
8/11/2017,104.02,104.8,104.8,103.81,392.66K,-0.44%
8/14/2017,106.2,104.47,106.35,104.13,502.41K,2.10%
8/15/2017,107.1,106.07,107.19,105.05,677.13K,0.85%
8/16/2017,106.69,107.41,107.79,106.5,591.30K,-0.38%
8/17/2017,106.52,106.55,107.12,106.23,472.09K,-0.16%
8/18/2017,105.77,106.15,106.15,105.26,507.63K,-0.70%
8/21/2017,107.45,105.85,107.75,105.55,501.15K,1.59%
8/22/2017,106.89,107.45,107.75,106.23,412.41K,-0.52%
8/23/2017,107.62,106.77,107.95,106.77,311.35K,0.68%
8/24/2017,107.47,107.75,108.27,107.37,563.50K,-0.14%
8/25/2017,107.09,107.56,108.12,106.92,374.71K,-0.35%
8/28/2017,106.33,107.09,107.19,105.3,529.13K,-0.71%
8/29/2017,105.78,106.24,107.1,105.49,453.11K,-0.52%
8/30/2017,106.62,105.65,106.62,105.11,327.81K,0.79%
8/31/2017,106.46,106.79,107.24,106.29,501.02K,-0.15%
9/1/2017,106.22,106.63,107.2,106.2,311.02K,-0.23%
9/5/2017,106.49,106.19,106.88,105.5,543.75K,0.25%
9/6/2017,106.37,106.69,106.87,106.09,514.15K,-0.11%
9/7/2017,107.03,106.52,107.47,106.45,558.71K,0.62%
9/8/2017,107.94,107.3,108.44,106.91,845.63K,0.85%
9/11/2017,109.11,108.17,109.25,107.81,575.37K,1.08%
9/12/2017,107.06,108.86,108.88,106.56,508.02K,-1.88%
9/13/2017,106.25,106.9,106.93,105.89,452.44K,-0.76%
9/14/2017,107.01,106.04,107.23,105.37,406.20K,0.72%
9/15/2017,108.22,107.2,108.22,106.77,1.41M,1.13%
9/18/2017,108.26,108.28,108.66,107.82,753.60K,0.04%
9/19/2017,107.7,108.28,108.42,107.03,963.10K,-0.52%
9/20/2017,107.3,107.62,108.03,106.82,730.26K,-0.37%
9/21/2017,107.27,107.21,107.81,107.12,690.52K,-0.03%
9/22/2017,107.16,107.4,107.73,106.83,760.11K,-0.10%
9/25/2017,106.91,107.26,107.58,106.84,446.35K,-0.23%
9/26/2017,107.11,106.85,107.5,106.77,514.40K,0.19%
9/27/2017,106.05,106.7,107.06,105.92,455.10K,-0.99%
9/28/2017,105.99,105.95,106.33,105.49,419.65K,-0.06%
9/29/2017,106.88,105.75,106.88,105.63,537.84K,0.84%
10/2/2017,107.2,107.09,107.4,106.62,647.16K,0.30%
10/3/2017,107.18,107.27,107.48,106.43,541.62K,-0.02%
10/4/2017,107.88,107.16,107.99,106.84,422.46K,0.65%
10/5/2017,108.26,108.18,109.06,107.89,516.93K,0.35%
10/6/2017,107.93,107.85,108.17,106.81,356.91K,-0.30%
10/9/2017,108.34,107.82,108.66,107.82,525.65K,0.38%
10/10/2017,108.52,108.66,109.3,107.77,899.58K,0.17%
10/11/2017,108.8,108.5,109.19,108.39,506.42K,0.26%
10/12/2017,108.66,108,108.67,107.51,566.30K,-0.13%
10/13/2017,108.78,109.7,110.24,108.61,514.01K,0.11%
10/16/2017,107.55,108.84,109.05,107.3,669.61K,-1.13%
10/17/2017,107.16,107.35,107.74,106.9,703.23K,-0.36%
10/18/2017,105.82,107.05,107.22,105.71,818.47K,-1.25%
10/19/2017,105.09,105.48,106.15,105.03,738.65K,-0.69%
10/20/2017,104.81,105.12,105.36,104.45,749.94K,-0.27%
10/23/2017,104.41,105.22,105.22,103.94,759.19K,-0.38%
10/24/2017,104.16,104.3,104.52,103.1,684.79K,-0.24%
10/25/2017,104.22,104.01,104.83,103.69,596.29K,0.06%
10/26/2017,99.72,102.75,102.75,99.61,1.70M,-4.32%
10/27/2017,100.55,99.5,100.58,98.73,947.50K,0.83%
10/30/2017,101.99,100.81,102.26,100.66,950.67K,1.43%
10/31/2017,102.35,101.93,102.44,101.54,709.85K,0.35%
11/1/2017,103.11,102.73,103.39,102.05,563.85K,0.74%
11/2/2017,102.17,103.09,103.88,101.98,587.88K,-0.91%
11/3/2017,103.39,101.77,103.97,101.53,461.67K,1.19%
11/6/2017,104.28,103.58,105.29,103.53,452.30K,0.86%
11/7/2017,105.03,104.25,105.75,104.01,482.21K,0.72%
11/8/2017,105.61,105.2,105.91,105.2,389.40K,0.55%
11/9/2017,105.61,105.51,106.21,104.93,341.39K,0.00%
11/10/2017,105.47,105.1,106.06,105.1,377.52K,-0.13%
11/13/2017,106.03,105.74,106.77,105.14,583.01K,0.53%
