Date,Price,Open,High,Low,Vol.,Change %
5/12/2016,93.72,94.13,94.41,93.28,476.98K,-0.28%
5/13/2016,94.85,93.7,95.33,93.3,942.70K,1.21%
5/16/2016,96.31,94.78,96.88,94.71,619.24K,1.54%
5/17/2016,94.84,95.88,96.51,93.98,580.74K,-1.53%
5/18/2016,94.29,94.76,95.78,93.29,1.99M,-0.58%
5/19/2016,93.53,93.4,93.78,92.47,380.07K,-0.81%
5/20/2016,95.63,93.94,95.68,93.39,617.51K,2.25%
5/23/2016,95.72,95.93,96.05,95.1,554.19K,0.09%
5/24/2016,98,96.42,98.38,95.42,2.22M,2.38%
5/25/2016,98.26,98.04,98.39,97.24,501.09K,0.27%
5/26/2016,96.47,98.26,98.26,96.46,850.72K,-1.82%
5/27/2016,96.58,96.54,97.4,96.42,764.18K,0.11%
5/31/2016,96.9,96.56,97.17,94.98,3.62M,0.33%
6/1/2016,96.47,96.32,96.91,95.28,501.66K,-0.44%
6/2/2016,97.29,96.48,97.33,95.87,446.65K,0.85%
6/3/2016,97.66,97.46,98.96,97.29,489.93K,0.38%
6/6/2016,96.51,97.92,98.44,96.04,532.36K,-1.18%
6/7/2016,96.54,96.9,97.4,96.37,461.93K,0.03%
6/8/2016,97.09,96.47,97.35,96.13,429.97K,0.57%
6/9/2016,98.16,97,98.29,96.51,574.14K,1.10%
6/10/2016,98.6,97.62,99.15,97.04,672.18K,0.45%
6/13/2016,98.52,98.77,99.66,98.22,551.23K,-0.08%
6/14/2016,97.89,98.35,98.74,97.8,377.68K,-0.64%
6/15/2016,98.46,98.04,98.97,97.43,418.90K,0.58%
6/16/2016,98.61,98.12,98.77,97.46,344.01K,0.15%
6/17/2016,98.11,98.3,99.01,97.68,687.76K,-0.51%
6/20/2016,97.92,98.9,99.52,97.79,358.60K,-0.19%
6/21/2016,97.92,97.95,98.74,97.61,510.11K,0.00%
6/22/2016,98.46,98.17,98.61,97.53,318.23K,0.55%
6/23/2016,99.24,98.94,99.52,98.74,385.77K,0.79%
6/24/2016,99.36,97.43,100.03,96.63,649.11K,0.12%
6/27/2016,99.13,98.92,99.35,97.6,522.14K,-0.23%
6/28/2016,99.86,98.74,99.88,98.31,374.25K,0.74%
6/29/2016,101.79,100.32,101.84,100.32,369.12K,1.93%
6/30/2016,103.52,101.73,103.6,101.32,497.40K,1.70%
7/1/2016,104.24,103.82,104.75,103.61,430.31K,0.70%
7/5/2016,105.03,104.18,105.03,103.68,315.21K,0.76%
7/6/2016,105.33,104.57,105.39,104.3,364.90K,0.29%
7/7/2016,101.27,101.3,102,100.53,3.59M,-3.85%
7/8/2016,102.79,101.82,103.13,101.53,935.40K,1.50%
7/11/2016,103.73,103.13,103.89,102.18,466.81K,0.91%
7/12/2016,103.09,103.8,103.91,102.6,743.17K,-0.62%
7/13/2016,104.42,103.56,104.44,101.47,680.55K,1.29%
